epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,477.545,1.81035,1.25947,1.30624,0.78159,0.60987,0.65803,0.29869,1.74253,1.10846,1.44431,0.00155579,0.00155579,0.00155579
4,540.465,1.78105,1.19534,1.27049,0.83926,0.64735,0.71218,0.34385,1.68885,1.02051,1.38743,0.00150197,0.00150197,0.00150197
5,625.721,1.73018,1.11393,1.2574,0.8604,0.65903,0.73015,0.36228,1.65635,0.90803,1.36773,0.00144696,0.00144696,0.00144696
6,684.899,1.72369,1.08766,1.25476,0.8715,0.6328,0.72579,0.36229,1.68351,0.92129,1.39306,0.00139195,0.00139195,0.00139195
7,747.325,1.68561,1.04704,1.24014,0.87261,0.67934,0.7428,0.36914,1.66478,0.87522,1.3677,0.00133693,0.00133693,0.00133693
