epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.8716,1.92232,1.90525,1.36952,0.76942,0.56268,0.64069,0.28872,1.77166,1.32962,1.47538,0.000554395,0.000554395,0.000554395
2,128.858,1.84151,1.35855,1.30373,0.79549,0.6213,0.67996,0.31168,1.74029,1.09016,1.44398,0.00107343,0.00107343,0.00107343
3,191.865,1.81035,1.25947,1.30624,0.78159,0.60987,0.65803,0.29869,1.74253,1.10846,1.44431,0.00155579,0.00155579,0.00155579
4,252.651,1.78105,1.19534,1.27049,0.83926,0.64735,0.71218,0.34385,1.68885,1.02051,1.38743,0.00150197,0.00150197,0.00150197
5,317.683,1.73018,1.11393,1.2574,0.8604,0.65903,0.73015,0.36228,1.65635,0.90803,1.36773,0.00144696,0.00144696,0.00144696
6,376.022,1.72369,1.08766,1.25476,0.8715,0.6328,0.72579,0.36229,1.68351,0.92129,1.39306,0.00139195,0.00139195,0.00139195
7,439.388,1.68561,1.04704,1.24014,0.87261,0.67934,0.7428,0.36914,1.66478,0.87522,1.3677,0.00133693,0.00133693,0.00133693
8,498.362,1.68706,1.03825,1.23155,0.88054,0.66793,0.74512,0.37307,1.61911,0.86113,1.35499,0.00128192,0.00128192,0.00128192
9,1084.59,1.66617,0.99867,1.2229,0.86901,0.68491,0.75461,0.38067,1.61246,0.8266,1.33933,0.00122691,0.00122691,0.00122691
10,1146.56,1.64657,0.97301,1.2114,0.86738,0.69905,0.75401,0.38273,1.61058,0.83176,1.34382,0.0011719,0.0011719,0.0011719
11,1205.87,1.61472,0.95151,1.20116,0.88108,0.70351,0.76583,0.40226,1.58026,0.77168,1.32766,0.00111689,0.00111689,0.00111689
12,1265.54,1.62296,0.94243,1.20136,0.87462,0.70911,0.76915,0.39396,1.58539,0.78752,1.32502,0.00106188,0.00106188,0.00106188
13,1326.41,1.60876,0.93555,1.19307,0.8621,0.72917,0.77253,0.39773,1.58291,0.76725,1.3156,0.00100687,0.00100687,0.00100687
14,1412.34,1.60532,0.91981,1.19086,0.89804,0.69917,0.77112,0.40018,1.58848,0.7616,1.32007,0.000951857,0.000951857,0.000951857
15,1477.03,1.58275,0.90373,1.18712,0.87446,0.7231,0.77961,0.39975,1.57845,0.74789,1.31688,0.000896846,0.000896846,0.000896846
16,1540.27,1.57852,0.89234,1.17918,0.89217,0.72129,0.78093,0.41041,1.55268,0.73598,1.30668,0.000841835,0.000841835,0.000841835
17,1617.76,1.57754,0.8914,1.18221,0.89382,0.71654,0.78087,0.40999,1.56246,0.71971,1.30949,0.000786824,0.000786824,0.000786824
18,1710.97,1.57117,0.8763,1.16885,0.8933,0.71793,0.78458,0.41092,1.56263,0.72466,1.31528,0.000731813,0.000731813,0.000731813
19,1786.36,1.57573,0.86672,1.17332,0.86518,0.7318,0.78659,0.40845,1.55777,0.72477,1.31209,0.000676802,0.000676802,0.000676802
20,1848.91,1.55686,0.8642,1.16835,0.8921,0.73643,0.79114,0.41457,1.53362,0.69918,1.29793,0.000621791,0.000621791,0.000621791
21,1936.95,1.55433,0.79505,1.19769,0.89558,0.727,0.78703,0.41647,1.54702,0.70151,1.29727,0.00056678,0.00056678,0.00056678
22,1994.54,1.54437,0.78469,1.20182,0.87943,0.72453,0.78441,0.41988,1.53107,0.71144,1.29735,0.000511769,0.000511769,0.000511769
23,2457.91,1.53114,0.77246,1.19406,0.90229,0.72727,0.79454,0.42518,1.52924,0.68482,1.2926,0.000456758,0.000456758,0.000456758
24,2522.23,1.51834,0.75334,1.188,0.89994,0.73021,0.79359,0.42179,1.53632,0.68327,1.29476,0.000401747,0.000401747,0.000401747
25,2580.93,1.51197,0.74833,1.1808,0.88453,0.74219,0.79488,0.42588,1.52421,0.67747,1.28991,0.000346736,0.000346736,0.000346736
26,2640.6,1.50558,0.73479,1.17503,0.89877,0.74096,0.80122,0.43232,1.52264,0.66533,1.28495,0.000291725,0.000291725,0.000291725
27,2856.78,1.49125,0.71823,1.16664,0.89225,0.74325,0.80025,0.43432,1.51566,0.66017,1.27868,0.000236714,0.000236714,0.000236714
28,2913.38,1.475,0.70805,1.16248,0.89393,0.74696,0.8022,0.43258,1.51858,0.65382,1.28231,0.000181703,0.000181703,0.000181703
29,2969.71,1.47661,0.7025,1.1654,0.89297,0.74927,0.80201,0.43608,1.5069,0.64425,1.27832,0.000126692,0.000126692,0.000126692
30,3026.35,1.4652,0.69252,1.16019,0.8835,0.74831,0.80172,0.43757,1.50498,0.64536,1.27641,7.1681e-05,7.1681e-05,7.1681e-05
